"company_id","city","state_name","lat","lng","population","position_count","wage_median"
191,"Sammamish","Washington",47.6017,-122.0416,66586,4,217347
9604,"Sammamish","Washington",47.6017,-122.0416,66586,6,175280
9590,"Sammamish","Washington",47.6017,-122.0416,66586,2,120675
9590,"Alpharetta","Georgia",34.0704,-84.2738,65884,5,114900
4605,"Alpharetta","Georgia",34.0704,-84.2738,65884,2,112699
132,"Alpharetta","Georgia",34.0704,-84.2738,65884,3,171500
9604,"Apex","North Carolina",35.7237,-78.8743,65541,2,147800
227,"Waltham","Massachusetts",42.3889,-71.2423,64711,2,156100
9590,"Pflugerville","Texas",30.4515,-97.6018,64528,10,116100
9590,"Greenwood","Indiana",39.6019,-86.1073,63579,15,112700
27732,"Council Bluffs","Iowa",41.2369,-95.8516,62670,32,93000
227,"Leander","Texas",30.5728,-97.8618,62491,2,180000
9590,"Leander","Texas",30.5728,-97.8618,62491,2,157900
9604,"Reston","Virginia",38.9497,-77.3461,62339,240,155000
27732,"Reston","Virginia",38.9497,-77.3461,62339,352,147500
4605,"Reston","Virginia",38.9497,-77.3461,62339,47,154275
132,"Reston","Virginia",38.9497,-77.3461,62339,2,165000
307,"Woodland","California",38.6712,-121.75,61227,2,147044
9604,"Huntersville","North Carolina",35.406,-80.8716,61202,2,127000
9590,"Revere","Massachusetts",42.4189,-71.004,60577,4,162700
9590,"Lenexa","Kansas",38.9609,-94.8018,57497,5,58885
9590,"Lacey","Washington",47.0462,-122.7933,56263,5,153650
9590,"Apopka","Florida",28.7015,-81.5316,55056,8,129000
9590,"Beaumont","California",33.9076,-116.9766,53544,8,90854
9590,"Palm Desert","California",33.7378,-116.3695,51290,4,53500
9590,"Summerville","South Carolina",33.0016,-80.1799,50839,6,107000
9590,"Cypress","California",33.8171,-118.0386,49955,4,89000
9590,"Jeffersonville","Indiana",38.3376,-85.7026,49771,10,47923
132,"McLean","Virginia",38.9436,-77.1943,49587,125,180850
4605,"McLean","Virginia",38.9436,-77.1943,49587,23,97843
9590,"Kyle","Texas",29.9932,-97.8852,48484,3,81765
27732,"Leesburg","Virginia",39.1057,-77.5544,48465,12,150500
9604,"Bothell","Washington",47.7735,-122.2044,47917,24,169857
9590,"Bothell","Washington",47.7735,-122.2044,47917,2,159078
191,"Bothell","Washington",47.7735,-122.2044,47917,7,205678
4605,"Bothell","Washington",47.7735,-122.2044,47917,4,135063
9590,"San Luis Obispo","California",35.2669,-120.669,47529,74,68370
9590,"Newark","California",37.5201,-122.0307,47470,3,179200
191,"Newark","California",37.5201,-122.0307,47470,3,209720
9604,"Newark","California",37.5201,-122.0307,47470,4,179610
4605,"Jefferson City","Missouri",38.5676,-92.1759,42644,9,202831
9604,"Manassas","Virginia",38.7479,-77.4838,42620,6,135150
9590,"Manassas","Virginia",38.7479,-77.4838,42620,5,136625
9590,"Kearny","New Jersey",40.7528,-74.1202,41157,2,117300
9590,"Culver City","California",34.0058,-118.3968,40357,259,112100
9590,"Mount Juliet","Tennessee",36.199,-86.5115,39525,20,52240
9604,"Issaquah","Washington",47.5439,-122.0471,39400,4,146400
191,"Issaquah","Washington",47.5439,-122.0471,39400,3,208028
57585,"Issaquah","Washington",47.5439,-122.0471,39400,2,191209
191,"Lake Stevens","Washington",48.0024,-122.0953,38816,2,177000
9590,"Beloit","Wisconsin",42.523,-89.0184,36642,6,112174
9590,"Moorpark","California",34.2861,-118.8768,36073,6,115650
9590,"Norristown","Pennsylvania",40.1225,-75.3398,35712,3,83699
27732,"Midlothian","Texas",32.4669,-96.989,35460,19,136000
191,"Woodridge","Illinois",41.737,-88.0409,34027,2,252000
9590,"Duluth","Georgia",34.0053,-84.1492,31742,2,135500
9590,"Garner","North Carolina",35.6936,-78.6181,31684,9,62500
9590,"Sterling","Virginia",39.0052,-77.405,31058,28,116126
9604,"Sterling","Virginia",39.0052,-77.405,31058,10,155000
27732,"Sterling","Virginia",39.0052,-77.405,31058,7,141000
4605,"Sterling","Virginia",39.0052,-77.405,31058,6,161136
9604,"Springfield","Virginia",38.781,-77.1839,31022,10,143600
9590,"Springfield","Virginia",38.781,-77.1839,31022,3,133315
191,"Burlingame","California",37.5859,-122.3667,30995,6,189402
4605,"Sanford","North Carolina",35.4875,-79.177,30373,2,127445
9604,"Morrisville","North Carolina",35.8368,-78.8348,29756,9,129390
9590,"East Palo Alto","California",37.4671,-122.1352,29520,26,175000
9604,"Hutto","Texas",30.5396,-97.544,29498,2,170000
9590,"Easton","Pennsylvania",40.6858,-75.2209,28883,4,73278
9590,"Ruskin","Florida",27.7065,-82.4209,28878,2,89190
9590,"Huntley","Illinois",42.1599,-88.433,27652,6,142800
9604,"Mount Pleasant","Wisconsin",42.7129,-87.8876,27640,2,206500
4605,"Tysons","Virginia",38.9215,-77.2273,27617,16,139050
9590,"Holbrook","New York",40.7944,-73.07,27220,3,130932
9590,"Kernersville","North Carolina",36.1065,-80.0842,27177,9,112694
9590,"Horn Lake","Mississippi",34.9512,-90.0501,26652,6,36275
27732,"New York","New York",40.6943,-73.9249,18908608,1613,172000
57585,"New York","New York",40.6943,-73.9249,18908608,213,161189
9604,"New York","New York",40.6943,-73.9249,18908608,805,162250
4605,"New York","New York",40.6943,-73.9249,18908608,229,154872
132,"Chicago","Illinois",41.8375,-87.6866,8497759,433,165000
9604,"Chicago","Illinois",41.8375,-87.6866,8497759,104,148667
27732,"Chicago","Illinois",41.8375,-87.6866,8497759,652,139000
57585,"Chicago","Illinois",41.8375,-87.6866,8497759,100,146500
191,"Houston","Texas",29.786,-95.3885,5970127,2,173465
191,"Dallas","Texas",32.7935,-96.7667,5830932,2,154000
494,"Seattle","Washington",47.6211,-122.3244,3561397,37,225156
132,"Seattle","Washington",47.6211,-122.3244,3561397,393,164800
227,"Seattle","Washington",47.6211,-122.3244,3561397,32,185000
27732,"Seattle","Washington",47.6211,-122.3244,3561397,806,158000
9604,"Seattle","Washington",47.6211,-122.3244,3561397,63,148300
4605,"Seattle","Washington",47.6211,-122.3244,3561397,18,139768
9590,"Seattle","Washington",47.6211,-122.3244,3561397,9020,124692
307,"Seattle","Washington",47.6211,-122.3244,3561397,7,157017
191,"San Francisco","California",37.7558,-122.4449,3364979,14,193000
307,"San Francisco","California",37.7558,-122.4449,3364979,6,159244
307,"San Diego","California",32.8313,-117.1222,3046560,9,156030
9590,"San Diego","California",32.8313,-117.1222,3046560,350,105893
9590,"Baltimore","Maryland",39.3051,-76.6144,2196524,44,77418
9590,"Portland","Oregon",45.5371,-122.65,2095808,105,84718
307,"Portland","Oregon",45.5371,-122.65,2095808,6,133067
27732,"San Antonio","Texas",29.4632,-98.5238,2058444,3,157000
4605,"San Antonio","Texas",29.4632,-98.5238,2058444,3,104758
